H	-1
N	-3,-2,-1
O	-2,-1
F	-1
Al	1,3
Si	1,2,3,4
S	-2,-1
Cl	-1
Ca	2
Sc	1,2,3
Ti	2,3,4
V	1,2,3,4,5
Cr	1,2,3,4,5,6
Mn	1,2,3,4,5,6,7
Fe	1,2,3,4,5,6
Co	1,2,3,4,5
Ni	1,2,3,4
Cu	1,2,3,4
Zn	2
Ga	1,2,3
Ge	1,2,3,4
As	2,3,5
Se	-2
Br	-1
Sr	2
Y	3
Zr	1,2,3,4
Nb	2,3,4,5
Mo	1,2,3,4,5,6
Ru	1,2,3,4,5,6,7,8
Rh	1,2,3,4,5,6
Pd	2,4
Ag	1,2,3
Cd	2
In	1,2,3
Sn	2,4
Sb	3,5
Te	-2
I	-1
Ba	2
Hf	2,3,4
Ta	2,3,4,5
W	1,2,3,4,5,6
Re	1,2,3,4,5,6,7
Os	1,2,3,4,5,6,7,8
Ir	1,2,3,4,5,6
Pt	2,4,5,6
Au	1,2,3,5
Hg	1,2
Tl	1,3
Pb	2,4
Bi	3,5